Time,Fuel,Feed,RPM,Ts_burning,Tg_burning,Target
0.00,4.0000,40.00,1.50,1340.47,1497.40,1400.00
0.05,4.0000,40.00,1.50,1326.65,1521.94,1400.00
0.10,4.0000,40.00,1.50,1327.94,1538.24,1400.00
0.15,4.0000,40.00,1.50,1333.45,1549.96,1400.00
0.20,4.0000,40.00,1.50,1339.43,1558.78,1400.00
0.25,4.0000,40.00,1.50,1344.75,1565.55,1400.00
0.30,4.0000,40.00,1.50,1349.15,1570.79,1400.00
0.35,4.0000,40.00,1.50,1352.67,1574.85,1400.00
0.40,4.0000,40.00,1.50,1355.45,1578.00,1400.00
0.45,4.0000,40.00,1.50,1357.62,1580.43,1400.00
0.50,4.0000,40.00,1.50,1359.30,1582.30,1400.00
0.55,4.0000,40.00,1.50,1360.60,1583.72,1400.00
0.60,4.0000,40.00,1.50,1361.59,1584.81,1400.00
0.65,4.0000,40.00,1.50,1362.35,1585.62,1400.00
0.70,4.0000,40.00,1.50,1362.92,1586.23,1400.00
0.75,4.0000,40.00,1.50,1363.35,1586.68,1400.00
0.80,4.0000,40.00,1.50,1363.67,1587.01,1400.00
0.85,4.0000,40.00,1.50,1363.91,1587.25,1400.00
0.90,4.0000,40.00,1.50,1364.07,1587.41,1400.00
0.95,4.0000,40.00,1.50,1364.19,1587.52,1450.00
1.00,4.0000,40.00,1.50,1364.27,1587.59,1450.00
1.05,4.0000,40.00,1.50,1364.33,1587.64,1450.00
1.10,4.0000,40.00,1.50,1364.36,1587.66,1450.00
1.15,4.0000,40.00,1.50,1364.38,1587.66,1450.00
1.20,4.0000,40.00,1.50,1364.38,1587.66,1450.00
1.25,4.0000,40.00,1.50,1364.38,1587.65,1450.00
1.30,4.0000,40.00,1.50,1364.37,1587.63,1450.00
1.35,4.0000,40.00,1.50,1364.36,1587.61,1450.00
1.40,4.0000,40.00,1.50,1364.35,1587.59,1450.00
1.45,4.0000,40.00,1.50,1364.34,1587.57,1450.00
1.50,4.0000,40.00,1.50,1364.33,1587.55,1450.00
1.55,4.0000,40.00,1.50,1364.31,1587.53,1450.00
1.60,4.0000,40.00,1.50,1364.30,1587.52,1450.00
1.65,4.0000,40.00,1.50,1364.29,1587.50,1450.00
1.70,4.0000,40.00,1.50,1364.28,1587.48,1450.00
1.75,4.0000,40.00,1.50,1364.27,1587.47,1450.00
1.80,4.0000,40.00,1.50,1364.26,1587.46,1450.00
1.85,4.0000,40.00,1.50,1364.25,1587.45,1450.00
1.90,4.0000,40.00,1.50,1364.25,1587.44,1450.00
1.95,4.0000,40.00,1.50,1364.24,1587.43,1450.00
2.00,4.0000,40.00,1.50,1364.23,1587.42,1450.00
2.05,4.0000,40.00,1.50,1364.23,1587.41,1450.00
2.10,4.0000,40.00,1.50,1364.22,1587.41,1450.00
2.15,4.0000,40.00,1.50,1364.22,1587.40,1450.00
2.20,4.0000,40.00,1.50,1364.22,1587.40,1450.00
2.25,4.0000,40.00,1.50,1364.21,1587.39,1450.00
2.30,4.0000,40.00,1.50,1364.21,1587.39,1450.00
2.35,4.0000,40.00,1.50,1364.21,1587.39,1450.00
2.40,4.0000,40.00,1.50,1364.21,1587.39,1450.00
2.45,4.0000,40.00,1.50,1364.21,1587.38,1450.00
2.50,4.0000,40.00,1.50,1364.20,1587.38,1450.00
2.55,4.0000,40.00,1.50,1364.20,1587.38,1450.00
2.60,4.0000,40.00,1.50,1364.20,1587.38,1450.00
2.65,4.0000,40.00,1.50,1364.20,1587.38,1450.00
2.70,4.0000,40.00,1.50,1364.20,1587.38,1450.00
2.75,4.0000,40.00,1.50,1364.20,1587.38,1450.00
2.80,4.0000,40.00,1.50,1364.20,1587.37,1450.00
2.85,4.0000,40.00,1.50,1364.20,1587.37,1450.00
2.90,4.0000,40.00,1.50,1364.20,1587.37,1450.00
2.95,4.0000,40.00,1.50,1364.20,1587.37,1450.00
3.00,4.0000,40.00,1.50,1364.20,1587.37,1450.00
3.05,4.0000,40.00,1.50,1364.20,1587.37,1450.00
3.10,4.0000,40.00,1.50,1364.20,1587.37,1450.00
3.15,4.0000,40.00,1.50,1364.20,1587.37,1450.00
3.20,4.0000,40.00,1.50,1364.20,1587.37,1450.00
3.25,4.0000,40.00,1.50,1364.20,1587.37,1450.00
3.30,4.0000,40.00,1.50,1364.20,1587.37,1450.00
3.35,4.0000,40.00,1.50,1364.20,1587.37,1450.00
3.40,4.0000,40.00,1.50,1364.20,1587.37,1450.00
3.45,4.0000,40.00,1.50,1364.20,1587.37,1450.00
3.50,4.0000,40.00,1.50,1364.19,1587.37,1450.00
3.55,4.0000,40.00,1.50,1364.19,1587.37,1450.00
3.60,4.0000,40.00,1.50,1364.19,1587.37,1450.00
3.65,4.0000,40.00,1.50,1364.19,1587.37,1450.00
3.70,4.0000,40.00,1.50,1364.19,1587.37,1450.00
3.75,4.0000,40.00,1.50,1364.19,1587.37,1450.00
3.80,4.0000,40.00,1.50,1364.19,1587.37,1450.00
3.85,4.0000,40.00,1.50,1364.19,1587.37,1450.00
3.90,4.0000,40.00,1.50,1364.19,1587.37,1450.00
3.95,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.00,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.05,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.10,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.15,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.20,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.25,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.30,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.35,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.40,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.45,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.50,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.55,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.60,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.65,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.70,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.75,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.80,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.85,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.90,4.0000,40.00,1.50,1364.19,1587.37,1450.00
4.95,4.0000,40.00,1.50,1364.19,1587.37,1450.00
